scenario_id,group,true_pipe,sensor,mae,rmse,r2
scenario_00048,pipe-1,1,Q4a,2.3e-05,3.3e-05,0.2436
scenario_00048,pipe-1,1,Q5a,1.6e-05,2e-05,-0.5905
scenario_00048,pipe-1,1,OVERALL,0.041628,,
scenario_00049,pipe-1,1,P2,0.084715,0.092803,-38.5822
scenario_00049,pipe-1,1,P3,0.001258,0.00252,0.998
scenario_00049,pipe-1,1,P5,0.022217,0.041593,0.6891
scenario_00049,pipe-1,1,P6,0.022452,0.04216,0.8957
scenario_00049,pipe-1,1,Q2a,7.4e-05,8.1e-05,-3.8712
scenario_00049,pipe-1,1,Q4a,5e-06,9e-06,0.0
scenario_00049,pipe-1,1,Q5a,5e-06,9e-06,0.6432
scenario_00049,pipe-1,1,OVERALL,0.018675,,
scenario_00050,pipe-1,1,P2,0.085162,0.093293,-23.0806
scenario_00050,pipe-1,1,P3,0.002328,0.004194,0.9968
scenario_00050,pipe-1,1,P5,0.085133,0.128911,0.7542
scenario_00050,pipe-1,1,P6,0.071829,0.093139,0.3717
scenario_00050,pipe-1,1,Q2a,7.3e-05,8e-05,-1.6624
scenario_00050,pipe-1,1,Q4a,1.8e-05,2.7e-05,0.432
scenario_00050,pipe-1,1,Q5a,1.5e-05,2e-05,-19.0679
scenario_00050,pipe-1,1,OVERALL,0.034937,,
scenario_00051,pipe-1,1,P2,0.088293,0.096825,-0.0771
scenario_00051,pipe-1,1,P3,0.017601,0.031911,0.995
scenario_00051,pipe-1,1,P5,0.163021,0.389834,0.6735
scenario_00051,pipe-1,1,P6,0.304945,0.860693,0.768
